Taxa	Dbh	WD	LA	CEL	HCEL	LIG
12-26	26.7	0.342	84.02857143	0.576142	0.191878	0.087817
12-28	23.8	0.384	97.308125	0.486231	0.188828	0.214792
12-3	33.2	0.39	76.14909091	0.568407	0.162591	0.135492
12-30						
12-31	29.1	0.399	94.74166667	0.37592	0.185594	0.253943
12-32	25.3	0.406	100.8716667	0.380858	0.169579	0.291501
12-33	25.21	0.361	90.08285714	0.391667	0.175926	0.259259
12-35	25.1	0.394	81.53428571	0.410993	0.169504	0.231915
12-36	28.9	0.376		0.306369	0.178522	0.323106
12-37	23.8	0.383		0.297504	0.17677	0.343861
12-38	24.5	0.398		0.331712	0.192835	0.307828
12-39	27	0.376		0.336167	0.19677	0.306842
12-4	30.5	0.397	49.771875	0.551052	0.201642	0.091329
12-40	21.2	0.343	69.96625	0.303328	0.162632	0.37292
12-41	27	0.383	115.003	0.404285	0.1783	0.284727
12-43	28.9	0.362	104.97	0.216438	0.157991	0.470776
12-44	19.5	0.383	89.12416667	0.41133	0.161946	0.048645
12-45	22	0.381	63.65428571	0.280374	0.163259	0.403329
12-5	29.5	0.368	58.39857143	0.47518	0.190953	0.180544
12-6	27	0.371		0.524597	0.187903	0.131855
12-7	26.9	0.369				
12-8	27.1	0.385		0.584721	0.157689	0.123408
12-9	26.6	0.35		0.311822	0.206512	0.324142
13-10	28.6	0.387	63.3075	0.284062	0.188034	0.38914
13-11	30.5	0.328		0.248785	0.167035	0.401679
13-12	27.8	0.36		0.369281	0.170401	0.307656
13-13	26.8	0.389		0.410128	0.175849	0.277685
13-14	29.6	0.371	74.49	0.51199	0.181321	0.161548
13-15	30.7	0.372	72.77666667	0.145609	0.170759	0.535442
13-16	33.2	0.444	116.3	0.399004	0.160028	0.284495
13-19	26.7	0.394	95.31142857	0.212775	0.171298	0.404397
13-2	29.4	0.356	53.886875	0.353812	0.182117	0.272628
13-20	25.4	0.402		0.410931	0.15334	0.305162
13-21	26.7	0.404	54.94214286	0.343183	0.245673	0.294639
13-22	24.8	0.381		0.391238	0.22019	0.269333
13-23	26.2	0.408		0.392232	0.201447	0.263138
13-24	33	0.372	84.576	0.329096	0.227401	0.332392
13-26	34.2	0.407		0.230747	0.233992	0.425494
13-27	27.7	0.396	89.82125	0.589066	0.216216	0.090909
13-28	28.3	0.413	58.53466667	0.492639	0.237259	0.157984
13-29	27.9	0.373	73.86166667	0.40566	0.20537	0.267779
13-3	26.9	0.352		0.204171	0.178468	0.401552
13-30	26.5	0.41		0.418151	0.238762	0.214165
13-31	32.3	0.379	120.2883333	0.426491	0.245655	0.221231
13-32	20.4	0.381	103.8358333	0.388281	0.235938	0.258594
