Taxa	Dbh	WD	LA	CEL	HCEL	LIG
21-12	31.2	0.353		0.477881	0.176046	0.263316
21-13	28.5	0.351		0.660392	0.143449	0.117846
21-14	31	0.343		0.566385	0.180737	0.196853
21-15	27.1	0.376		0.584601	0.183034	0.147994
21-16	27.3	0.366		0.433022	0.23231	0.283489
21-17	25.3	0.36		0.673528	0.171676	0.081103
21-18	29	0.334		0.254173	0.166299	0.510866
21-19	24.6	0.344	61.77611111	0.437461	0.128173	0.35356
21-2	32.9	0.343	55.02	0.46802	0.124539	0.326876
21-20	31.3	0.347		0.524343	0.111003	0.244401
21-21	26.2	0.333		0.33912	0.17284	0.441358
21-22	26.8	0.346		0.402185	0.168658	0.356094
21-23	30.5	0.347		0.521013	0.139896	0.266552
21-24	26.7	0.393		0.43007	0.131556	0.361888
21-25	25.4	0.4		0.465049	0.203549	0.264759
21-26	28.4	0.388		0.638756	0.142344	0.16866
21-27	30.7	0.374		0.520185	0.14792	0.249307
21-28	28.8	0.4		0.41037	0.138074	0.368296
21-3	26.7	0.374		0.313681	0.087309	0.508551
21-30	26.2	0.378		0.450207	0.155576	0.327214
21-31	27.4	0.373		0.577465	0.167058	0.204225
21-32	28.9	0.375		0.50357	0.183536	0.267535
21-33	30.7	0.369		0.508141	0.164953	0.258355
21-35	29.2	0.394	81.79285714	0.324138	0.144562	0.386737
21-36	22.5	0.367	64.33	0.696392	0.140231	0.123213
21-37	20.5	0.356	68.23928571	0.603613	0.167587	0.175615
21-38	28.3	0.403	58.38416667	0.502388	0.184336	0.261223
21-39	27.1	0.382	81.19375	0.426835	0.14416	0.350847
21-4	34.2	0.352	71.619375	0.301881	0.136545	0.495154
21-40	28.4	0.415	97.41	0.361658	0.178929	0.357168
21-41	24.8	0.377	64.384375	0.544386	0.158834	0.204091
21-43	27.6	0.399	45.469	0.358838	0.224697	0.368523
21-44	25.5	0.364		0.343532	0.211754	0.334747
21-45	24	0.403	63.245			
21-5	28.5	0.383		0.618166	0.16229	0.163151
21-6	27	0.36		0.282191	0.141458	0.495829
21-7	29.1	0.352		0.413095	0.127778	0.380556
21-8	29.2	0.403		0.436298	0.082933	0.394231
21-9	32.8	0.368		0.57004	0.090745	0.265754
22-10	26.8	0.371		0.260922	0.149676	0.48665
22-11	23	0.309	66.98928571	0.360024	0.19635	0.356491
22-12	27.8	0.381		0.251724	0.167672	0.457759
22-13	31.8	0.373	49.12583333	0.373466	0.211609	0.34063
22-14	26.7	0.376		0.318391	0.170709	0.432607
22-15	29.6	0.366	60.33625	0.200114	0.16443	0.508421
22-16	28.8	0.354		0.709295	0.142386	0.085036
22-17	30.8	0.347	62.457	0.272381	0.125079	0.510159
22-18	31	0.363		0.568862	0.148204	0.225549
22-19	29.5	0.359		0.431163	0.13207	0.372999
22-2	32.6	0.371	66.59375	0.385506	0.199477	0.364214
22-20	31.4	0.337		0.282015	0.164952	0.496275
22-21	30.4	0.348		0.319568	0.115785	0.47279
22-22	27.8	0.356		0.411447	0.201944	0.333333
22-23	33.5	0.349	42.94214286	0.465334	0.193312	0.279772
22-24	27	0.382		0.155232	0.158697	0.479556
22-25	31.2	0.374		0.193745	0.197807	0.564175
22-27	28.5	0.395		0.492477	0.158194	0.204555
22-28	26.7	0.38				
22-3	30.4	0.377	53.07785714	0.417866	0.192633	0.304826
22-30	29.1	0.357		0.443126	0.109211	0.371947
22-32	25.4	0.37	90.59125	0.398911	0.054432	0.433904
22-33	28	0.38	129.5445455	0.469455	0.176347	0.317183
22-34	28.3	0.385		0.539581	0.199401	0.209243
22-35	29.4	0.354		0.320842	0.209493	0.42434
22-36	26.4	0.351	98.85857143	0.45369	0.18433	0.330094
22-4	23	0.336	45.1025	0.254191	0.174642	0.526973
22-42	31.4	0.413	65.9577778	0.355743	0.151342	0.470907
22-43	26	0.379		0.46671	0.149478	0.259138
22-44	29.7	0.376	99.616875	0.392603	0.075616	0.46
22-45	24.4	0.385		0.375599	0.068349	0.509422
22-5	32.4	0.337		0.31666	0.192989	0.390705
22-6	29.6	0.376		0.307056	0.213415	0.353659
22-7	29.5	0.365		0.341695	0.165336	0.374762
22-8	28.2	0.361		0.172073	0.242991	0.498626
22-9	30	0.343		0.335115	0.181704	0.372839
23-10	22.4	0.381		0.352515	0.102787	0.47376
23-11	26.8	0.37		0.397398	0.126394	0.470632
23-12	25.4	0.355	71.439	0.39195	0.092492	0.491293
23-13	27.2	0.354		0.531044	0.170243	0.255794
23-14	33	0.363		0.503149	0.239328	0.19944
23-15	29	0.375		0.397168	0.238705	0.283884
23-16	23.9	0.339	47.64928571	0.545455	0.052033	0.270335
23-17	26.5	0.388		0.444554	0.1	0.361386
23-18	27	0.373		0.40422	0.116602	0.390339
23-19	28.7	0.359		0.572513	0.085582	0.251686
23-20	27.5	0.36		0.512847	0.16444	0.305584
23-21	26	0.373		0.734311	0.125102	0.103912
23-22	26.9	0.372	44.50571429	0.551746	0.188228	0.250323
23-23	30	0.366		0.610827	0.171909	0.182151
23-25	30	0.398		0.610609	0.247178	0.17833
23-26	26.3	0.311	60.13583333	0.616216	0.15045	0.223423
23-27	27.4	0.394		0.339835	0.168595	0.418512
23-28	25.5	0.383	63.70666667	0.320611	0.117775	0.51036
23-29	25.7	0.382		0.355932	0.117315	0.449983
23-3	31.3	0.377	101.2491667	0.467395	0.082129	0.366937
23-30	21.7	0.398	101.211875	0.48386	0.138534	0.293208
23-31	26.2	0.387		0.618474	0.140562	0.202524
23-32	27.6	0.395		0.207218	0.160602	0.560602
23-33	24.2	0.372	78.54875	0.522099	0.13628	0.276243
23-34	31.1	0.35	127.370833	0.209382	0.123952	0.587788
23-38	32.2	0.401	113.434	0.515266	0.142618	0.268089
23-40	26.3	0.403	102.6028571	0.24556	0.181172	0.525311
23-41	28.5	0.374	53.44214286	0.41859	0.183974	0.39359
23-43	27.9	0.354	105.7708333	0.43356	0.211445	0.325897
23-44	26.1	0.385		0.317257	0.178761	0.440708
23-45	25.7	0.372	96.56642857	0.567158	0.055002	0.30291
23-5	24.5	0.391		0.248879	0.100897	0.534753
23-6	30.9	0.34		0.379734	0.122591	0.447841
23-7	28.2	0.38		0.358324	0.11188	0.455594
23-8	28	0.372		0.406485	0.091058	0.440223
23-9	26.5	0.35	101.1383333	0.201474	0.250614	0.37674
24-10	28.2	0.359		0.583374	0.131948	0.231996
24-11	29	0.337	77.065	0.490823	0.140041	0.32291
24-12	26.3	0.357		0.600571	0.157487	0.175439
24-13	31.6	0.361		0.510267	0.168539	0.261139
24-14	20.7	0.367		0.490042	0.134581	0.333132
24-15	30	0.388		0.418964	0.087088	0.405514
24-16	30.5	0.364		0.735205	0.123672	0.053869
24-17	25.9	0.366		0.268577	0.136526	0.508505
24-18	31.1	0.348		0.270655	0.132835	0.516026
24-19	31.9	0.343	104.858333	0.373089	0.176258	0.371977
24-2	32.7	0.375	62.4377778	0.551186	0.190862	0.22325
24-20	28.4	0.333		0.563073	0.151462	0.193365
24-22	31	0.337		0.237127	0.159238	0.543488
24-23	33.6	0.362		0.25341	0.102948	0.552134
24-24	30.5	0.376	53.51	0.351598	0.10274	0.465373
24-25	26	0.369		0.649762	0.094559	0.172213
24-26	29.7	0.371		0.255945	0.125165	0.535007
24-28	25.8	0.397	84.72833333	0.360192	0.154916	0.42446
24-29	25.8	0.394		0.375827	0.06374	0.472038
24-3	32.3	0.368		0.425081	0.137351	0.378936
24-30	30.4	0.341	109.6707143	0.322337	0.149008	0.446184
24-31	26.3	0.348		0.21916	0.146982	0.53937
24-32	27.6	0.341	87.45333333	0.252783	0.12987	0.544063
24-33	32.4	0.406	66.5366667	0.493963	0.124409	0.302362
24-34	28.8	0.336	76.48916667	0.275104	0.151867	0.504564
24-35	29	0.401	120.0183333	0.230536	0.113179	0.584504
24-36	31.3	0.386	65.04125	0.336168	0.125698	0.456816
24-4	33.5	0.409		0.400215	0.115937	0.386576
24-40	25.5	0.409	93.2446667			
24-41	26.2	0.419	58.8566667			
24-42	28	0.363	106.4525	0.255748	0.142677	0.524094
24-43	24.5	0.37				
24-44	27.5	0.399		0.352279	0.206349	0.390169
24-45	25.9	0.398		0.591418	0.143035	0.195274
24-5	25.6	0.353		0.63515	0.127671	0.145833
24-6	25.4	0.354	69.346875	0.271028	0.113054	0.539644
24-7	33.1	0.347		0.419706	0.083438	0.416352
24-8	28.4	0.369		0.474515	0.165858	0.285194
24-9	29.4	0.298		0.339562	0.186418	0.433911
25-10	28.8	0.3		0.202996	0.139326	0.558801
25-11	29.3	0.369		0.642717	0.099282	0.143697
25-12	26.6	0.37		0.475031	0.120856	0.305078
25-13	30.5	0.388		0.261288	0.137124	0.491639
25-14	28.4	0.296		0.295908	0.232424	0.358342
25-15	18.2	0.444	138.4991667	0.435649	0.121702	0.349488
25-16	32.4	0.415		0.450909	0.175065	0.252468
25-17	26.6	0.382		0.359052	0.094397	0.392241
25-18	27.7	0.338		0.401957	0.095108	0.390215
25-19	31.9	0.337		0.317104	0.109447	0.457761
25-2	29.7	0.369	64.989375	0.453773	0.143464	0.335282
25-20	27.8	0.369		0.265777	0.176881	0.436893
25-21	33	0.364		0.221192	0.132009	0.550552
25-22	18.4	0.391		0.428105	0.126225	0.347631
25-23	30.7	0.356		0.240355	0.114412	0.531707
25-24	28.7	0.337		0.273761	0.091743	0.531009
25-25	28.6	0.379		0.40113	0.133475	0.365819
25-26	28.9	0.388		0.390255	0.104281	0.355191
25-27	27.6	0.392		0.533806	0.07896	0.280378
25-28	29.1	0.37	78.820625	0.53644	0.109569	0.251363
25-29	22.2	0.383	104.6675			
25-3	27	0.325		0.412194	0.150599	0.371548
25-30	22	0.355	96.86214286	0.45901	0.110148	0.303359
25-31	23.5	0.384		0.662864	0.087849	0.13919
25-32	31.3	0.369	77.185	0.282353	0.139338	0.475368
25-34	28.8	0.366	102.3058333	0.29679	0.128074	0.446721
25-35	26.7	0.371	124.64	0.282277	0.107358	0.493753
25-36	31.3	0.393	95.76125	0.260631	0.119178	0.522418
25-38	28.5	0.389	87.5475	0.390734	0.20888	0.155212
25-4	29.3	0.344		0.304141	0.072982	0.546619
25-40	23	0.357	42.58	0.423232	0.148485	0.350505
25-41	31.2	0.407	101.644444			
25-42	26.8	0.361		0.360879	0.154663	0.297953
25-43	29.5	0.387	68.7933333	0.486548	0.121258	0.323986
25-44	26.7	0.373	78.81	0.367104	0.145201	0.421247
25-45	31.2	0.413		0.397297	0.133205	0.206564
25-5	26.4	0.369		0.328272	0.120752	0.456255
25-6	29.8	0.36		0.356347	0.105122	0.1951
25-7	32.3	0.36		0.285613	0.13141	0.469729
25-8	24.5	0.364		0.324723	0.178352	0.388684
25-9	28.9	0.353	71.06882353	0.632	0.106947	0.165474
26-10	21.5	0.356		0.282544	0.159987	0.488904
26-11	30.5	0.362		0.320117	0.154424	0.410267
26-12	33.5	0.381	85.25647059	0.4339	0.167012	0.33133
26-13	21.3	0.311	83.3775	0.369487	0.10261	0.438344
26-14	26.5	0.375		0.476828	0.110196	0.332647
26-15	30	0.363		0.436474	0.137386	0.36231
26-16	30	0.344		0.391071	0.135357	0.401429
26-18	28	0.334		0.420063	0.11024	0.384535
26-19	25.8	0.339		0.261954	0.139344	0.336749
26-2	31	0.347	66.022	0.391823	0.173339	0.133305
26-20	32	0.352		0.415452	0.148688	0.367711
26-21	25.7	0.312	67.41166667	0.474013	0.166506	0.27719
26-22	26.5	0.354				
26-23	31.2	0.351		0.306203	0.121759	0.507384
26-24	29.4	0.361		0.200063	0.121736	0.262976
26-25	30.1	0.379		0.200522	0.118151	0.427134
26-26	11.4					
26-27	29.2	0.358	54.95833333	0.198529	0.169608	0.510294
26-29	21	0.362	72.677	0.278678	0.148975	0.458244
26-3	27.8	0.384	86.08125	0.27568	0.131547	0.511165
26-30	30.7	0.387	78.761	0.582183	0.145628	0.166667
26-32	28.7	0.389		0.408107	0.196557	0.306496
26-33	23.5	0.342	50.06083333	0.424478	0.158209	0.318806
26-34	30	0.504	56.64	0.430284	0.15836	0.31041
26-35						
26-36	33	0.391	43.54333333	0.271062	0.1337	0.494505
26-39	31.2	0.38	80.10333333	0.452746	0.167244	0.290945
26-4	25.6	0.374		0.383388	0.143617	0.174714
26-40	31.1	0.366	72.6625	0.57134	0.161519	0.169858
26-41	21	0.361	37.30045455	0.202969	0.166183	0.512423
26-42	25.9	0.363	52.07888889	0.442155	0.169555	0.277752
26-43	28.3	0.402	111.5385714	0.339293	0.192198	0.358797
26-44						
26-45	28.5	0.393	74.71222222	0.366329	0.164069	0.356976
26-5	31	0.383		0.392039	0.106375	0.437126
26-6	24.6	0.419		0.374544	0.173709	0.385498
26-8	32.5	0.394		0.26594	0.166263	0.408394
26-9	26.2	0.361		0.421815	0.113417	0.239865
27-10	31.6	0.361		0.282545	0.171136	0.457338
27-11	24.6	0.392	61.0525	0.520284	0.168864	0.201318
27-12	24.7	0.363	46.3105556	0.411338	0.136402	0.335465
27-13	27.3	0.377		0.420298	0.152497	0.311902
27-14	29.1	0.366		0.44145	0.181774	0.268006
27-15	29	0.376		0.33401	0.172084	0.396982
27-16	25.3	0.382		0.556015	0.169078	0.165771
27-17	28.9	0.355		0.397674	0.17814	0.336744
27-18	27.2	0.391	81.2	0.281989	0.171419	0.450278
27-19	27.5	0.336	33.355	0.215736	0.192893	0.494078
27-2	32.5	0.358		0.46055	0.179205	0.255046
27-20	26.3	0.377		0.190855	0.428429	0.307157
27-21	26.8	0.373		0.499699	0.2059	0.243829
27-22	29.9	0.378		0.33322	0.354663	0.210007
27-23	28.5	0.345		0.451662	0.21853	0.283988
27-24	30.1	0.348				
27-25	28.7	0.354		0.462887	0.214927	0.279364
27-26	26.9	0.349		0.317188	0.156744	0.458459
27-27	21	0.344		0.327551	0.164395	0.434531
27-28	27.3	0.365	108.1016667	0.309544	0.190034	0.450169
27-3	27.1	0.307	50.10375	0.614612	0.198174	0.080365
27-30	29.7	0.36		0.434043	0.217021	0.290426
27-31	18	0.396	41.685625	0.333232	0.236027	0.380923
27-32	29.6	0.392	51.703	0.254696	0.180663	0.493094
27-33	22	0.382	93.69875	0.428405	0.189756	0.324796
27-34	29	0.41	50.905	0.381873	0.176117	0.386598
27-35	30.1	0.371	64.88714286	0.462372	0.206956	0.278221
27-36	24.8	0.37	42.56625	0.420945	0.205712	0.309419
27-37	21.4	0.373	65.67166667	0.41471	0.178404	0.35446
27-38	29.8	0.409	78.74125	0.42796	0.197337	0.30718
27-39	28	0.35	54.89583333	0.388741	0.171928	0.364397
27-4	25.8	0.354		0.511355	0.20293	0.18022
27-40	26.3	0.379	104.651	0.254615	0.156043	0.492511
27-42	33.6	0.371	86.76214286	0.414101	0.186884	0.31835
27-43	18.9	0.371	60.49583333	0.243081	0.198556	0.487365
27-44	30	0.371	48.81888889	0.482723	0.187435	0.274346
27-45	27.3	0.333	87.565	0.597911	0.234117	0.127937
27-5	28.9	0.331		0.239335	0.15872	0.506901
27-6	31.8	0.367	68.16333333	0.304611	0.153061	0.427438
27-7	30.8	0.382		0.404017	0.162225	0.335651
27-8	25.5	0.38	77.38	0.448924	0.156474	0.2904
27-9	25	0.403		0.401086	0.136078	0.341052
28-10	30.5	0.342		0.450836	0.222714	0.264995
28-11	31.4	0.368		0.361702	0.33316	0.236118
28-12	27.2	0.315		0.525773	0.211149	0.191676
28-13	31	0.359		0.476737	0.364955	0.138973
28-15	31.5	0.37		0.251799	0.25045	0.454586
28-16	33	0.353		0.529901	0.291212	0.174727
28-17	31.5	0.348		0.458364	0.256698	0.236785
28-18	32.2	0.345	55.58071429	0.469679	0.239001	0.235434
28-19	28.6	0.37		0.367754	0.21558	0.35942
28-2	30	0.379	63.241	0.588556	0.20436	0.144414
28-20	33	0.357		0.38099	0.211661	0.302316
28-21	30.6	0.374		0.200686	0.236364	0.527273
28-22	30	0.354	85.42916667	0.444596	0.228883	0.283833
28-23	30.6	0.342		0.366678	0.208593	0.374877
28-24	28.2	0.37		0.268496	0.216573	0.482109
28-25	28.9	0.362		0.544064	0.245084	0.168973
28-26	30.8	0.377		0.5147	0.185507	0.203313
28-27	25.7	0.362		0.661679	0.19202	0.082294
28-28	29.8	0.405		0.304823	0.178344	0.433424
28-29	28.8	0.399		0.649051	0.216125	0.075881
28-3	35.8	0.364	64.62571429	0.370919	0.174576	0.363953
28-32	27	0.371		0.251505	0.179596	0.494155
28-33	31	0.365	83.65			
28-35	29.4	0.367	84.80666667			
28-36	23.3	0.419		0.524884	0.255208	0.197917
28-37	27.2	0.336	72.29857143	0.36246	0.197466	0.382788
28-38	30.5	0.373	82.38583333	0.363344	0.221329	0.383173
28-39	28.6	0.366				
28-4	27.6	0.353	63.6765	0.231519	0.152149	0.538968
28-40	29.6	0.379		0.309301	0.206201	0.421741
28-41	26.1	0.365		0.466784	0.227513	0.281599
28-42	26.2	0.355	55.33214286	0.434885	0.215085	0.291691
28-44	20.2	0.353	46.33	0.35087	0.197389	0.39557
28-45	29	0.374	127.27375	0.371388	0.207932	0.368555
28-5	32.8	0.359				
28-7	30.2	0.347		0.303202	0.14225	0.478322
28-8	34.1	0.401	52.0466667	0.308502	0.154656	0.467611
28-9	30	0.351				
29-11	30.7	0.319		0.535381	0.187435	0.202623
29-12	26.4	0.392		0.438462	0.222222	0.271795
29-13	29.4	0.35		0.273162	0.225344	0.438733
29-14	28.6	0.379		0.524602	0.208287	0.200518
29-15	25.4	0.369		0.465487	0.248496	0.228673
29-16	28	0.345	48.95	0.43447	0.308199	0.202274
29-17	28.1	0.344	92.30666667	0.567385	0.250674	0.121968
29-18	26.4	0.399		0.409032	0.277898	0.305254
29-19	27.5	0.335	63.63916667	0.541949	0.211864	0.190254
29-20	26.5	0.355		0.456633	0.210204	0.266837
29-21	30.9	0.405	68.43833333	0.366585	0.222113	0.37887
29-22	25.3	0.435		0.413333	0.209655	0.301149
29-23	29	0.356	69.86071429	0.283045	0.202679	0.455763
29-24	35.6	0.349		0.459443	0.199571	0.278543
29-25	26.6	0.427		0.215881	0.2134	0.519107
29-26	26.7	0.387		0.255376	0.18894	0.490015
29-27	23.1	0.344		0.462831	0.233707	0.260692
29-28	26.8	0.376		0.222826	0.241395	0.493659
29-29	21.4	0.412		0.398832	0.201275	0.345194
29-3	29.5	0.313		0.313789	0.22367	0.39848
29-30	26.5	0.377		0.415593	0.187797	0.334576
29-33	23.2	0.348	43.21954545	0.497549	0.188725	0.23315
29-35	31.7	0.396	52.90571429	0.36453	0.198711	0.362835
29-38	26.2	0.409		0.295077	0.168861	0.465369
29-39	26.6	0.394		0.363981	0.157713	0.393251
29-40	29.6	0.394	78.25142857	0.491384	0.216231	0.22846
29-41	21.8	0.399		0.268499	0.17167	0.354545
29-42	29.8	0.398	63.1725	0.328586	0.209054	0.371312
29-43	26.2	0.396	84.4	0.531371	0.172404	0.179067
29-45	29.6	0.38	68.806	0.661081	0.19823	0.07809
29-5	34.3	0.367	64.215	0.411845	0.257859	0.28656
29-7	31.6	0.378		0.475622	0.248756	0.234826
29-8	29.2	0.389		0.398738	0.202524	0.327445
29-9	26.6	0.38		0.417641	0.22289	0.24755
3-10	25.9	0.35	63.36666667	0.531357	0.152794	0.229571
3-11	25.9	0.373		0.411308	0.1602	0.354767
3-12	26	0.367		0.390853	0.173032	0.358793
3-13	28.1	0.356		0.373583	0.157803	0.374019
3-14	25.3	0.349	50.70066667	0.348248	0.16496	0.404852
3-15	24.8	0.366		0.456124	0.140779	0.325199
3-16	25.7	0.352		0.376736	0.166667	0.366319
3-17	27	0.338	66.35333333	0.403526	0.214985	0.298727
3-18	32.6	0.349		0.473165	0.16046	0.289704
3-19	27.8	0.349		0.537485	0.130593	0.237001
3-2	30	0.328	61.87043478	0.39881	0.164021	0.334987
3-20	34.8	0.363	89.6	0.416306	0.201659	0.286436
3-21						
3-22	28.3	0.326		0.453744	0.200685	0.277533
3-25						
3-26	31.6	0.354	101.0325	0.520489	0.187768	0.209786
3-27	31.4	0.327		0.435643	0.23504	0.254016
3-28	27	0.353		0.520112	0.198324	0.218436
3-29	23	0.371	82.041	0.495165	0.194198	0.230459
3-3	30	0.373	65.024375	0.278533	0.146399	0.477921
3-30	25.8	0.373	60.83	0.44173	0.194233	0.289948
3-31	25.6	0.335	91.46642857	0.475367	0.175052	0.251572
3-32	25	0.355		0.546838	0.203747	0.172521
3-33	23	0.38		0.608453	0.189661	0.128886
3-34	30.4	0.352	87.23695652	0.481171	0.167877	0.154038
3-35	24.7	0.328	100.706	0.572753	0.196478	0.16126
3-36	25.3	0.385	54.38928571	0.545699	0.178763	0.207885
3-37	26.9	0.356	93.220625	0.420382	0.191614	0.311571
3-38	24.4	0.379	87.798	0.555673	0.187169	0.187699
3-39	25.8	0.375	80.2925	0.403431	0.212834	0.325286
3-4	28.6	0.336		0.544241	0.162471	0.194127
3-40	21.4	0.388	93.2133333	0.529464	0.19613	0.212841
3-41	24.6	0.39	112.1385714	0.375814	0.17907	0.38
3-42	23.9	0.38	81.85	0.444581	0.198276	0.296798
3-43	25.7	0.368	80.91533333	0.517887	0.190889	0.213248
3-44	21.1	0.371	48.77071429	0.459854	0.201393	0.271068
3-45	23.4	0.31	68.8	0.564997	0.201463	0.162915
3-5	27.3	0.341	64.885	0.480841	0.156366	0.271323
3-6	33	0.355	80.60333333	0.460115	0.158264	0.306318
3-7	32	0.338	81.5825	0.43262	0.144836	0.353275
3-8	31.9	0.352	85.88230769	0.382916	0.162985	0.365734
3-9	31.7	0.35	88.94222222	0.427594	0.163056	0.328772
30-10	29.8	0.394	90.914	0.216704	0.156493	0.545782
30-11	24.3	0.357	118.924	0.402823	0.175172	0.332971
30-12	31.6	0.358		0.521935	0.248594	0.217098
30-13	28.6	0.372		0.414617	0.172497	0.332179
30-14	30	0.334		0.413967	0.181625	0.322889
30-15	33.2	0.337	66.756	0.452038	0.194644	0.284173
30-16	26.2	0.334		0.21748	0.186495	0.536977
30-17	27.8	0.376		0.382069	0.160026	0.363111
30-18	30.3	0.377		0.36746	0.168649	0.384027
30-19	25.5	0.368		0.208008	0.1736	0.547701
30-2	30.2	0.394	56.993125	0.337979	0.188153	0.406421
30-20	31.7	0.338		0.329707	0.183976	0.430926
30-22	29.8	0.34		0.298779	0.183902	0.456018
30-23	28.7	0.362		0.353267	0.163898	0.400886
30-24	25.3	0.298		0.344767	0.166279	0.413081
30-25	22.9	0.385		0.577258	0.181568	0.105456
30-26	34.4	0.375	68.659	0.410036	0.185663	0.345161
30-27	22.9	0.381		0.252183	0.159972	0.504715
30-28	33.3	0.34	79.17416667	0.22178	0.188579	0.531651
30-29	24.4	0.392		0.247722	0.124715	0.46754
30-30	27	0.35	99.533	0.415135	0.165045	0.241441
30-31	30.7	0.372	56.235	0.253089	0.186851	0.357884
30-34	28.4	0.364	114.35	0.227913	0.198464	0.341869
30-35	27.7	0.35		0.318224	0.138318	0.417523
30-37	24.5	0.295	117.908	0.24396	0.169505	0.477228
30-4	29	0.353	75.788125	0.514758	0.232959	0.107519
30-41	29.7	0.331	66.478	0.367758	0.200252	0.304786
30-42	14.2	0.366				
30-43	29.5	0.383		0.522142	0.121981	0.113527
30-44	26.4	0.344	53.275	0.495823	0.142506	0.260934
30-45	28.8	0.359		0.373217	0.156291	0.250649
30-5	29.7	0.362		0.224121	0.192519	0.51048
30-6	32.2	0.326		0.488615	0.155281	0.25933
30-7	13.5	0.336		0.528213	0.236677	0.208464
30-9	19.9	0.369	88.95	0.46919	0.21831	0.279049
4-1	33.6	0.352	88.49090909	0.442531	0.196728	0.290573
4-10	29.5	0.313	71.26375	0.347674	0.215116	0.294767
4-11	29.8	0.32	71.90071429	0.396939	0.219512	0.248685
4-12	29.5	0.315		0.45082	0.192623	0.226093
4-13	25.8	0.344	88.76285714	0.527956	0.194317	0.151696
4-14	27.7	0.357	72.65944444	0.430749	0.205575	0.227352
4-15	25.9	0.336		0.455289	0.198263	0.20746
4-16	28.8	0.355	85.70333333	0.37139	0.179987	0.326394
4-17	23.1	0.347	64.600625	0.468143	0.206959	0.194306
4-18	29.7	0.35		0.392331	0.214995	0.23759
4-19	32.9	0.379		0.526577	0.207154	0.123696
4-2	28.6	0.343	63.8	0.545043	0.200151	0.188089
4-21	26.3	0.358		0.512277	0.209263	0.148996
4-22	24.5	0.352		0.39916	0.204482	0.319328
4-23	30.9	0.371	111.5206667	0.211357	0.212188	0.424377
4-24	27.8	0.382	99.12666667	0.514964	0.198142	0.160475
4-25	23.7	0.327	80.89875	0.498975	0.193932	0.177122
4-27	24.9	0.373		0.368579	0.1976	0.305587
4-28	30.5	0.353	90.23764706	0.470552	0.204908	0.208589
4-29	24.7	0.374	84.35	0.417683	0.192073	0.282927
4-3	27.4	0.363	66.36806452	0.504705	0.184346	0.244226
4-30	68	26.8	0.36	94.75571429		
4-31	27.4	0.368	81.17	0.382117	0.193589	0.293547
4-32	25.1	0.389	101.62	0.495327	0.192924	0.182243
4-33	23.4	0.39	78.74833333	0.41582	0.191876	0.261892
4-34	23.3	0.381	77.40958333	0.418127	0.206647	0.250151
4-35	30	0.355	101.675	0.261403	0.195659	0.405788
4-36	26.9	0.381	72.864	0.403157	0.204852	0.266846
4-37	25.4	0.379	91.284	0.286748	0.207159	0.376238
4-39	32	0.365		0.482164	0.220571	0.180737
4-4	28.8	0.355	69.0325	0.391245	0.246841	0.333032
4-40	23.3	0.41	67.51428571	0.489788	0.179816	0.197437
4-41	23	0.369	95.101	0.515867	0.211554	0.155411
4-43	21.3	0.36	86.94125	0.537756	0.224065	0.102682
4-44	28.5	0.374	91.30318182	0.502026	0.242655	0.138298
4-45						
4-5	32.3	0.356	91.51125	0.505042	0.155633	0.245945
4-6	29.6	0.333		0.521739	0.193478	0.213043
4-7	33.3	0.346	74.70653846	0.323985	0.199262	0.387085
4-8	31	0.357		0.37963	0.201132	0.294239
4-9	26.3	0.329	75.13875	0.556883	0.217495	0.096558
5-10	29	0.362		0.380736	0.213539	0.280327
5-11	29	0.372	118.970625	0.425504	0.223813	0.236174
5-12	27.8	0.389	115.8645833	0.531053	0.232105	0.125789
5-13	28.4	0.368	96.41	0.506383	0.193921	0.178116
5-14	29.8	0.366	93.48875	0.475133	0.210875	0.186008
5-15	28	0.334	97.7075	0.372468	0.192242	0.293855
5-16	25.3	0.343	72.27208333	0.502092	0.225941	0.144351
5-17	31.3	0.343	89.62277778	0.460145	0.208169	0.187088
5-18	30.4	0.335		0.410721	0.215896	0.209242
5-19	28.6	0.339		0.533074	0.22846	0.111173
5-2	28.5	0.362	103.745	0.629254	0.220854	0.04924
5-20	28	0.359		0.546742	0.23135	0.097734
5-21	29.4	0.36	80.881	0.356669	0.214075	0.297347
5-23	33.6	0.355	118.3483333	0.380322	0.24721	0.261678
5-24	24.4	0.347	137.667	0.462938	0.222372	0.191712
5-25	12.3	0.357	79.243	0.44	0.225915	0.230423
5-26	29.9	0.337	82.66291667	0.47856	0.223966	0.178407
5-27	24	0.341	79.765	0.477	0.207333	0.174667
5-28	26.3	0.367	64.67375	0.399789	0.232595	0.256857
5-29	26.1	0.392	69.20722222	0.437023	0.19895	0.217557
5-3	28.3	0.351		0.542534	0.217728	0.123141
5-30	27.4	0.358	142.9075	0.345095	0.237121	0.277347
5-31	26.6	0.377	50.46928571	0.417548	0.227967	0.206424
5-32	28.8	0.379	87.011	0.349632	0.246149	0.259545
5-33	22.3	0.389	108.4714286	0.497492	0.215719	0.135452
5-34	31.5	0.328	92.8864	0.541429	0.203571	0.07
5-35	22.5	0.394	100.2495455	0.539354	0.209196	0.092378
5-36	29.9	0.374	91.485	0.390857	0.269143	0.233143
5-37	23	0.385	66.03785714	0.380835	0.221744	0.237101
5-38	32.6	0.355	111.3458333	0.420021	0.22291	0.201238
5-4	28.1	0.379	87.57863636	0.512326	0.234191	0.148982
